Roll(deg),Pitch(deg),Yaw(deg),Alpha_P(deg),Alpha_Y(deg)
0.000000,2.796072,2.796072,100.008000,100.008000
0.000000,2.802904,2.802904,99.990000,99.990000
0.000000,2.809739,2.809739,99.972000,99.972000
0.000000,2.816577,2.816577,99.954000,99.954000
0.000000,2.823420,2.823420,99.936000,99.936000
0.000000,2.830266,2.830266,99.918000,99.918000
0.000000,2.837115,2.837115,99.900000,99.900000
0.000000,2.843969,2.843969,99.882000,99.882000
0.000000,2.850825,2.850825,99.864000,99.864000
0.000000,2.857686,2.857686,99.846000,99.846000
0.000000,2.864550,2.864550,99.828000,99.828000
0.000000,2.871418,2.871418,99.810000,99.810000
0.000000,2.878289,2.878289,99.792000,99.792000
0.000000,2.885164,2.885164,99.774000,99.774000
0.000000,2.892043,2.892043,99.756000,99.756000
0.000000,2.898925,2.898925,99.738000,99.738000
0.000000,2.905811,2.905811,99.720000,99.720000
0.000000,2.912700,2.912700,99.702000,99.702000
0.000000,2.919594,2.919594,99.684000,99.684000
0.000000,2.926490,2.926490,99.666000,99.666000
0.000000,2.933391,2.933391,99.648000,99.648000
0.000000,2.940295,2.940295,99.630000,99.630000
0.000000,2.947202,2.947202,99.612000,99.612000
0.000000,2.954113,2.954113,99.594000,99.594000
0.000000,2.961028,2.961028,99.576000,99.576000
0.000000,2.967947,2.967947,99.558000,99.558000
0.000000,2.974869,2.974869,99.540000,99.540000
0.000000,2.981794,2.981794,99.522000,99.522000
0.000000,2.988724,2.988724,99.504000,99.504000
0.000000,2.995656,2.995656,99.486000,99.486000
0.000000,3.002593,3.002593,99.468000,99.468000
0.000000,3.009533,3.009533,99.450000,99.450000
0.000000,3.016477,3.016477,99.432000,99.432000
0.000000,3.023424,3.023424,99.414000,99.414000
0.000000,3.030375,3.030375,99.396000,99.396000
0.000000,3.037329,3.037329,99.378000,99.378000
0.000000,3.044287,3.044287,99.360000,99.360000
0.000000,3.051249,3.051249,99.342000,99.342000
0.000000,3.058214,3.058214,99.324000,99.324000
0.000000,3.065183,3.065183,99.306000,99.306000
0.000000,3.072156,3.072156,99.288000,99.288000
0.000000,3.079132,3.079132,99.270000,99.270000
0.000000,3.086112,3.086112,99.252000,99.252000
0.000000,3.093095,3.093095,99.234000,99.234000
0.000000,3.100082,3.100082,99.216000,99.216000
0.000000,3.107072,3.107072,99.198000,99.198000
0.000000,3.114066,3.114066,99.180000,99.180000
0.000000,3.121064,3.121064,99.162000,99.162000
0.000000,3.128065,3.128065,99.144000,99.144000
0.000000,3.135070,3.135070,99.126000,99.126000
0.000000,3.142079,3.142079,99.108000,99.108000
0.000000,3.149091,3.149091,99.090000,99.090000
0.000000,3.156106,3.156106,99.072000,99.072000
0.000000,3.163125,3.163125,99.054000,99.054000
0.000000,3.170148,3.170148,99.036000,99.036000
0.000000,3.177174,3.177174,99.018000,99.018000
0.000000,3.184204,3.184204,99.000000,99.000000
0.000000,3.191238,3.191238,98.982000,98.982000
0.000000,3.198275,3.198275,98.964000,98.964000
0.000000,3.205316,3.205316,98.946000,98.946000
0.000000,3.212360,3.212360,98.928000,98.928000
0.000000,3.219408,3.219408,98.910000,98.910000
0.000000,3.226459,3.226459,98.892000,98.892000
0.000000,3.233514,3.233514,98.874000,98.874000
0.000000,3.240573,3.240573,98.856000,98.856000
0.000000,3.247635,3.247635,98.838000,98.838000
0.000000,3.254700,3.254700,98.820000,98.820000
0.000000,3.261770,3.261770,98.802000,98.802000
0.000000,3.268842,3.268842,98.784000,98.784000
0.000000,3.275919,3.275919,98.766000,98.766000
0.000000,3.282999,3.282999,98.748000,98.748000
0.000000,3.290082,3.290082,98.730000,98.730000
0.000000,3.297169,3.297169,98.712000,98.712000
0.000000,3.304260,3.304260,98.694000,98.694000
0.000000,3.311354,3.311354,98.676000,98.676000
0.000000,3.318452,3.318452,98.658000,98.658000
0.000000,3.325553,3.325553,98.640000,98.640000
0.000000,3.332658,3.332658,98.622000,98.622000
0.000000,3.339766,3.339766,98.604000,98.604000
